entity,shelfmark,id_bbma,portal_url
https://data.biblissima.fr/entity/Q105378,Vat.gr.1091,mdataf1194b3ee80d86781dd3e64c0f507a86955ccd8d,https://portail.biblissima.fr/ark:/43093/mdataf1194b3ee80d86781dd3e64c0f507a86955ccd8d
https://data.biblissima.fr/entity/Q105379,Pal.gr.48,mdataf12423951631341682420f7c8ddc4f85585daff5,https://portail.biblissima.fr/ark:/43093/mdataf12423951631341682420f7c8ddc4f85585daff5
https://data.biblissima.fr/entity/Q105380,Vat.gr.421,mdataf142eb6362cfddb6d5158350d1a7710ce6139568,https://portail.biblissima.fr/ark:/43093/mdataf142eb6362cfddb6d5158350d1a7710ce6139568
https://data.biblissima.fr/entity/Q105381,Reg.gr.170,mdataf1454be12610ba506221fbd8dbba33e02e320d92,https://portail.biblissima.fr/ark:/43093/mdataf1454be12610ba506221fbd8dbba33e02e320d92
https://data.biblissima.fr/entity/Q105382,Vat.gr.1723,mdataf158d92190e03c28724e6e5591a4387fc96a354c,https://portail.biblissima.fr/ark:/43093/mdataf158d92190e03c28724e6e5591a4387fc96a354c
https://data.biblissima.fr/entity/Q105383,Vat.gr.997 (cote ancienne),mdataf17a2c2c484af3d0bea8fd5e91435fe557680d1f,https://portail.biblissima.fr/ark:/43093/mdataf17a2c2c484af3d0bea8fd5e91435fe557680d1f
https://data.biblissima.fr/entity/Q105384,Vat.gr.1940,mdataf1a6bd498e42000cd28eb14615d40a23b4d4905c,https://portail.biblissima.fr/ark:/43093/mdataf1a6bd498e42000cd28eb14615d40a23b4d4905c
https://data.biblissima.fr/entity/Q105385,Vat.gr.806,mdataf1ad0461c37ca8452be09ce5d454eba092788357,https://portail.biblissima.fr/ark:/43093/mdataf1ad0461c37ca8452be09ce5d454eba092788357
https://data.biblissima.fr/entity/Q105386,Vat.gr.2542,mdataf1bc185ffc133cf7bc7e831647832b2eced3316c,https://portail.biblissima.fr/ark:/43093/mdataf1bc185ffc133cf7bc7e831647832b2eced3316c
https://data.biblissima.fr/entity/Q105387,Vat.gr.1726,mdataf1be7ed64de3014d3307aa33555511fbed1558c4,https://portail.biblissima.fr/ark:/43093/mdataf1be7ed64de3014d3307aa33555511fbed1558c4
https://data.biblissima.fr/entity/Q105388,Pal.gr.225,mdataf1e485a00fbc52ff6efe39b340441f66edee7e46,https://portail.biblissima.fr/ark:/43093/mdataf1e485a00fbc52ff6efe39b340441f66edee7e46
https://data.biblissima.fr/entity/Q105389,Vat.gr.590,mdataf1e6740b429be47ea699691fddab99b7dc111534,https://portail.biblissima.fr/ark:/43093/mdataf1e6740b429be47ea699691fddab99b7dc111534
https://data.biblissima.fr/entity/Q105390,Vat.gr.1482B,mdataf1f4af97cd6b39534a580fd016a7023bf73bcb0f,https://portail.biblissima.fr/ark:/43093/mdataf1f4af97cd6b39534a580fd016a7023bf73bcb0f
https://data.biblissima.fr/entity/Q105391,Vat.gr.1113,mdataf1f93e462a00af77c5bbbbce3ca22e64a50df53e,https://portail.biblissima.fr/ark:/43093/mdataf1f93e462a00af77c5bbbbce3ca22e64a50df53e
https://data.biblissima.fr/entity/Q105392,Vat.gr.2170B,mdataf1fb3f438f31d143043d5b40af7ca40093dde1b4,https://portail.biblissima.fr/ark:/43093/mdataf1fb3f438f31d143043d5b40af7ca40093dde1b4
https://data.biblissima.fr/entity/Q105393,Vat.gr.1312,mdataf22ac39431090bce8ef112e970574c3b26e70dac,https://portail.biblissima.fr/ark:/43093/mdataf22ac39431090bce8ef112e970574c3b26e70dac
https://data.biblissima.fr/entity/Q105394,Reg.gr.181,mdataf22e212f846d22f74322f439a343ca49cf118b3e,https://portail.biblissima.fr/ark:/43093/mdataf22e212f846d22f74322f439a343ca49cf118b3e
https://data.biblissima.fr/entity/Q105395,Vat.gr.71,mdataf245b2a68587b52613893416907fbf6609bcdc48,https://portail.biblissima.fr/ark:/43093/mdataf245b2a68587b52613893416907fbf6609bcdc48
https://data.biblissima.fr/entity/Q105396,Vat.gr.1267,mdataf24b62846a9c55c06bcfaed188479761dbafe46f,https://portail.biblissima.fr/ark:/43093/mdataf24b62846a9c55c06bcfaed188479761dbafe46f
https://data.biblissima.fr/entity/Q105397,Vat.gr.395,mdataf256d3e00bb46b3c5c2f5cc42f4cbd50a7784b51,https://portail.biblissima.fr/ark:/43093/mdataf256d3e00bb46b3c5c2f5cc42f4cbd50a7784b51
https://data.biblissima.fr/entity/Q105398,Vat.gr.318,mdataf25e53192d1ee4f075a11b14dfe4ea4055b9a96c,https://portail.biblissima.fr/ark:/43093/mdataf25e53192d1ee4f075a11b14dfe4ea4055b9a96c
https://data.biblissima.fr/entity/Q105399,Reg.gr.162,mdataf282a9eb0360dec6d6f2d3180b76891943109503,https://portail.biblissima.fr/ark:/43093/mdataf282a9eb0360dec6d6f2d3180b76891943109503
https://data.biblissima.fr/entity/Q105400,Vat.gr.1244,mdataf285878257d46327164571550a2f5f12f66aac6b,https://portail.biblissima.fr/ark:/43093/mdataf285878257d46327164571550a2f5f12f66aac6b
https://data.biblissima.fr/entity/Q105401,Pal.gr.322,mdataf286ca7e2dbf81394659961ebdc92b7d493cccd9,https://portail.biblissima.fr/ark:/43093/mdataf286ca7e2dbf81394659961ebdc92b7d493cccd9
https://data.biblissima.fr/entity/Q105402,Pal.gr.314,mdataf296b5ab3e1d830e7b90790cc6a4062358fabf0b,https://portail.biblissima.fr/ark:/43093/mdataf296b5ab3e1d830e7b90790cc6a4062358fabf0b
https://data.biblissima.fr/entity/Q105403,Pal.gr.259,mdataf2db3dd8952131608e5895d542ce11915af4602c,https://portail.biblissima.fr/ark:/43093/mdataf2db3dd8952131608e5895d542ce11915af4602c
https://data.biblissima.fr/entity/Q105404,Urb.gr.163,mdataf2f677104ce616cbcd4839c146b075ffe57475db,https://portail.biblissima.fr/ark:/43093/mdataf2f677104ce616cbcd4839c146b075ffe57475db
https://data.biblissima.fr/entity/Q105405,Reg.gr.168,mdataf30caf124fdc41505adb084b3cf7251ed7ac66f2,https://portail.biblissima.fr/ark:/43093/mdataf30caf124fdc41505adb084b3cf7251ed7ac66f2
https://data.biblissima.fr/entity/Q105406,Barb.gr.368,mdataf310904cc691208231a1d3a51710be8c1db40a31,https://portail.biblissima.fr/ark:/43093/mdataf310904cc691208231a1d3a51710be8c1db40a31
https://data.biblissima.fr/entity/Q105407,Vat.gr.2225,mdataf325ed05423c5465d2a700ebe7dfc1fc13abdfa4,https://portail.biblissima.fr/ark:/43093/mdataf325ed05423c5465d2a700ebe7dfc1fc13abdfa4
https://data.biblissima.fr/entity/Q105408,Chig.R.VI.41,mdataf327dbde9bd9f1c6693798bd9ce620d5ecb49089,https://portail.biblissima.fr/ark:/43093/mdataf327dbde9bd9f1c6693798bd9ce620d5ecb49089
https://data.biblissima.fr/entity/Q105409,Vat.gr.1495,mdataf34efdca46348ddb448e2e5217c264da5c17d31f,https://portail.biblissima.fr/ark:/43093/mdataf34efdca46348ddb448e2e5217c264da5c17d31f
https://data.biblissima.fr/entity/Q105410,Vat.gr.1254,mdataf3aaa156bb76294c660ac86baa1f9bab6ba1668a,https://portail.biblissima.fr/ark:/43093/mdataf3aaa156bb76294c660ac86baa1f9bab6ba1668a
https://data.biblissima.fr/entity/Q105411,Reg.gr.66,mdataf3b9d90fc20be4494164d6501731be258688c8c0,https://portail.biblissima.fr/ark:/43093/mdataf3b9d90fc20be4494164d6501731be258688c8c0
https://data.biblissima.fr/entity/Q105412,Vat.gr.972,mdataf3ca799469bc87540b555ad6911c347ebe3af289,https://portail.biblissima.fr/ark:/43093/mdataf3ca799469bc87540b555ad6911c347ebe3af289
https://data.biblissima.fr/entity/Q105413,Vat.gr.817,mdataf3eb5673bbfefc0a6adee9c235f074f58d858402,https://portail.biblissima.fr/ark:/43093/mdataf3eb5673bbfefc0a6adee9c235f074f58d858402
https://data.biblissima.fr/entity/Q105414,Reg.gr.161,mdataf3f76b94899c5bdcd81c2b41ec1feb922fe88de9,https://portail.biblissima.fr/ark:/43093/mdataf3f76b94899c5bdcd81c2b41ec1feb922fe88de9
https://data.biblissima.fr/entity/Q105415,Vat.gr.1929,mdataf4130585e85a8f615cb5010166bf5c96dc788dd6,https://portail.biblissima.fr/ark:/43093/mdataf4130585e85a8f615cb5010166bf5c96dc788dd6
https://data.biblissima.fr/entity/Q105416,Vat.gr.2308,mdataf4186f125e97bf4e26d9e77d20ab2d2db84c4496,https://portail.biblissima.fr/ark:/43093/mdataf4186f125e97bf4e26d9e77d20ab2d2db84c4496
https://data.biblissima.fr/entity/Q105417,Vat.gr.906,mdataf420dc24b6f0e397c8903f07e199356654bc2b76,https://portail.biblissima.fr/ark:/43093/mdataf420dc24b6f0e397c8903f07e199356654bc2b76
https://data.biblissima.fr/entity/Q105418,Vat.gr.1795,mdataf4277a3456608fcd60e76d5267983708a347ab98,https://portail.biblissima.fr/ark:/43093/mdataf4277a3456608fcd60e76d5267983708a347ab98
https://data.biblissima.fr/entity/Q105419,Pal.gr.318,mdataf4439098249fdd50a2472f2c61dfe3f9e59e1a9b,https://portail.biblissima.fr/ark:/43093/mdataf4439098249fdd50a2472f2c61dfe3f9e59e1a9b
https://data.biblissima.fr/entity/Q105420,Vat.gr.1046,mdataf459025ada397e47c077e1b26d01ddef6d405ffd,https://portail.biblissima.fr/ark:/43093/mdataf459025ada397e47c077e1b26d01ddef6d405ffd
https://data.biblissima.fr/entity/Q105421,Vat.gr.1303,mdataf4791f40073a42cec718c533955441ab7f13aa30,https://portail.biblissima.fr/ark:/43093/mdataf4791f40073a42cec718c533955441ab7f13aa30
https://data.biblissima.fr/entity/Q105422,Vat.gr.1686,mdataf48db67d85402cc998d278f2b9ab9b42a8a0c4f3,https://portail.biblissima.fr/ark:/43093/mdataf48db67d85402cc998d278f2b9ab9b42a8a0c4f3
https://data.biblissima.fr/entity/Q105423,Vat.gr.84,mdataf51ede1f4953ba7360e428b5c527bcb48931cade,https://portail.biblissima.fr/ark:/43093/mdataf51ede1f4953ba7360e428b5c527bcb48931cade
https://data.biblissima.fr/entity/Q105424,Pal.gr.387,mdataf539a382a203ec1accc96fe21b892d00e32c2084,https://portail.biblissima.fr/ark:/43093/mdataf539a382a203ec1accc96fe21b892d00e32c2084
https://data.biblissima.fr/entity/Q105425,Vat.gr.2638,mdataf55e7fa74d156d8b7e29564276ca22f20635c436,https://portail.biblissima.fr/ark:/43093/mdataf55e7fa74d156d8b7e29564276ca22f20635c436
https://data.biblissima.fr/entity/Q105426,Vat.gr.1136,mdataf5a0fd657bc13942d955275e4f9e4da6f27678dc,https://portail.biblissima.fr/ark:/43093/mdataf5a0fd657bc13942d955275e4f9e4da6f27678dc
https://data.biblissima.fr/entity/Q105427,Vat.gr.1290,mdataf5a42ccc2b5ae0bd8a7f0e3a1a8027531dc8cc75,https://portail.biblissima.fr/ark:/43093/mdataf5a42ccc2b5ae0bd8a7f0e3a1a8027531dc8cc75
https://data.biblissima.fr/entity/Q105428,Barb.lat.2990,mdataf5b39287e95b1ed3123f1aafadbea221651f1409,https://portail.biblissima.fr/ark:/43093/mdataf5b39287e95b1ed3123f1aafadbea221651f1409
https://data.biblissima.fr/entity/Q105429,Vat.gr.1692,mdataf5b89f3a137e9a91537f5e6ec43b3bccb4581b51,https://portail.biblissima.fr/ark:/43093/mdataf5b89f3a137e9a91537f5e6ec43b3bccb4581b51
https://data.biblissima.fr/entity/Q105430,Barb.gr.400,mdataf5d39314339330ccaaa8ce7f1c6bbb72cf321fff,https://portail.biblissima.fr/ark:/43093/mdataf5d39314339330ccaaa8ce7f1c6bbb72cf321fff
https://data.biblissima.fr/entity/Q105431,Vat.gr.1017,mdataf5f5def69487cfa3b358dbc63adb4aa5cfb7befb,https://portail.biblissima.fr/ark:/43093/mdataf5f5def69487cfa3b358dbc63adb4aa5cfb7befb
https://data.biblissima.fr/entity/Q105432,Pal.gr.97,mdataf6170e339935ff759fb1d667ae3cd025c9eec855,https://portail.biblissima.fr/ark:/43093/mdataf6170e339935ff759fb1d667ae3cd025c9eec855
https://data.biblissima.fr/entity/Q105433,Vat.gr.1703,mdataf626e573663a08f2e5197248e3a7c32e93d57e5e,https://portail.biblissima.fr/ark:/43093/mdataf626e573663a08f2e5197248e3a7c32e93d57e5e
https://data.biblissima.fr/entity/Q105434,Vat.gr.2391,mdataf64348ce51b971f306c8371108bd1372344d6f7c,https://portail.biblissima.fr/ark:/43093/mdataf64348ce51b971f306c8371108bd1372344d6f7c
https://data.biblissima.fr/entity/Q104835,Reg.gr.87,mdatac264f4b115a96d257643290c0a03d060c98476ff,https://portail.biblissima.fr/ark:/43093/mdatac264f4b115a96d257643290c0a03d060c98476ff
https://data.biblissima.fr/entity/Q104836,Vat.gr.1363,mdatac26f86a60e68c658d3a58dd19ea1c200df1d5eba,https://portail.biblissima.fr/ark:/43093/mdatac26f86a60e68c658d3a58dd19ea1c200df1d5eba
https://data.biblissima.fr/entity/Q104837,Vat.gr.1118,mdatac2833d9fbbfca77cda83e140b7e6713d3ba0d695,https://portail.biblissima.fr/ark:/43093/mdatac2833d9fbbfca77cda83e140b7e6713d3ba0d695
https://data.biblissima.fr/entity/Q104838,Reg.gr.17,mdatac2942725722646b5bd3ed5d07d908864bb49a9a1,https://portail.biblissima.fr/ark:/43093/mdatac2942725722646b5bd3ed5d07d908864bb49a9a1
https://data.biblissima.fr/entity/Q104839,Vat.gr.162,mdatac2afab6ee2464279506a69d90b64af4c318d4ed3,https://portail.biblissima.fr/ark:/43093/mdatac2afab6ee2464279506a69d90b64af4c318d4ed3
https://data.biblissima.fr/entity/Q104840,Vat.gr.864,mdatac2e8359307c3b6bddda2f4a403c13de3f0d77fe8,https://portail.biblissima.fr/ark:/43093/mdatac2e8359307c3b6bddda2f4a403c13de3f0d77fe8
https://data.biblissima.fr/entity/Q104841,Vat.gr.1230,mdatac2fe29dde6d7b64523694dc2b3b966b4e67ed8b1,https://portail.biblissima.fr/ark:/43093/mdatac2fe29dde6d7b64523694dc2b3b966b4e67ed8b1
https://data.biblissima.fr/entity/Q104842,Barb.gr.538,mdatac2fe4e67e698f083bf66c6900151f59053b4b265,https://portail.biblissima.fr/ark:/43093/mdatac2fe4e67e698f083bf66c6900151f59053b4b265
https://data.biblissima.fr/entity/Q104843,Vat.gr.1491,mdatac3004d6a75a6cc9a3d70c8cbe79be027e8e75771,https://portail.biblissima.fr/ark:/43093/mdatac3004d6a75a6cc9a3d70c8cbe79be027e8e75771
https://data.biblissima.fr/entity/Q104844,Vat.gr.1277,mdatac33b7a435cc0195bdaa6089b936d7a9f6e9cef91,https://portail.biblissima.fr/ark:/43093/mdatac33b7a435cc0195bdaa6089b936d7a9f6e9cef91
https://data.biblissima.fr/entity/Q104845,Vat.gr.1651,mdatac35ee9f9c2df0249b6ca5e25c0f50ddbfb2ae17a,https://portail.biblissima.fr/ark:/43093/mdatac35ee9f9c2df0249b6ca5e25c0f50ddbfb2ae17a
https://data.biblissima.fr/entity/Q104846,Vat.gr.2537,mdatac383376717591d28397affec8190faaeb2818cbc,https://portail.biblissima.fr/ark:/43093/mdatac383376717591d28397affec8190faaeb2818cbc
https://data.biblissima.fr/entity/Q104847,Vat.gr.314,mdatac383c6c1cc3a10c275dc9e423079871df70acfa9,https://portail.biblissima.fr/ark:/43093/mdatac383c6c1cc3a10c275dc9e423079871df70acfa9
https://data.biblissima.fr/entity/Q104848,Vat.gr.738,mdatac38a8b0459e8db90656f03507dbcf9f70c1cee63,https://portail.biblissima.fr/ark:/43093/mdatac38a8b0459e8db90656f03507dbcf9f70c1cee63
https://data.biblissima.fr/entity/Q104849,Reg.gr.PioII34,mdatac3a1869d30b8cc7f0683410c8ecdbe5060fa67de,https://portail.biblissima.fr/ark:/43093/mdatac3a1869d30b8cc7f0683410c8ecdbe5060fa67de
https://data.biblissima.fr/entity/Q104850,Pal.gr.139,mdatac3a28f472fcd5626e5c21bb9a02bb97282cd2757,https://portail.biblissima.fr/ark:/43093/mdatac3a28f472fcd5626e5c21bb9a02bb97282cd2757
https://data.biblissima.fr/entity/Q104851,Pal.gr.323,mdatac3dad6b6a1b88bb5cae45bbcf023efb78c47aeb9,https://portail.biblissima.fr/ark:/43093/mdatac3dad6b6a1b88bb5cae45bbcf023efb78c47aeb9
https://data.biblissima.fr/entity/Q104852,Vat.gr.992,mdatac3dda33b1dd3ff0467e22ed951d236dd4bdf93b1,https://portail.biblissima.fr/ark:/43093/mdatac3dda33b1dd3ff0467e22ed951d236dd4bdf93b1
https://data.biblissima.fr/entity/Q104853,Vat.gr.263,mdatac3df90137965ff22b41c76dc5e8cb89549f07d09,https://portail.biblissima.fr/ark:/43093/mdatac3df90137965ff22b41c76dc5e8cb89549f07d09
https://data.biblissima.fr/entity/Q104854,Pal.gr.12,mdatac3e141868668e157964db56675dccc08d2d8f692,https://portail.biblissima.fr/ark:/43093/mdatac3e141868668e157964db56675dccc08d2d8f692
https://data.biblissima.fr/entity/Q104855,Vat.gr.2545,mdatac3e90e1e2ffabb5d85ba009289e53502c1036749,https://portail.biblissima.fr/ark:/43093/mdatac3e90e1e2ffabb5d85ba009289e53502c1036749
https://data.biblissima.fr/entity/Q104856,Vat.gr.1161,mdatac3f6302f0928201a25526de66f610e1eb78c4768,https://portail.biblissima.fr/ark:/43093/mdatac3f6302f0928201a25526de66f610e1eb78c4768
https://data.biblissima.fr/entity/Q104857,Barb.gr.342,mdatac3fb591606682d6a391244d942dcfcb43ee4aceb,https://portail.biblissima.fr/ark:/43093/mdatac3fb591606682d6a391244d942dcfcb43ee4aceb
https://data.biblissima.fr/entity/Q104858,Vat.gr.655,mdatac415cffbac5e0ed736d9efa473197217c78594c9,https://portail.biblissima.fr/ark:/43093/mdatac415cffbac5e0ed736d9efa473197217c78594c9
https://data.biblissima.fr/entity/Q104859,Vat.gr.682,mdatac432bce2cdc2b05cd909037bd50481a342587f45,https://portail.biblissima.fr/ark:/43093/mdatac432bce2cdc2b05cd909037bd50481a342587f45
https://data.biblissima.fr/entity/Q104860,Vat.gr.2568,mdatac456374e7ab2181d4f0bc3460474cee41f76c512,https://portail.biblissima.fr/ark:/43093/mdatac456374e7ab2181d4f0bc3460474cee41f76c512
https://data.biblissima.fr/entity/Q104861,Pal.gr.152,mdatac49e86117446fcde85ba5f0ce6b13dd24ec6c664,https://portail.biblissima.fr/ark:/43093/mdatac49e86117446fcde85ba5f0ce6b13dd24ec6c664
https://data.biblissima.fr/entity/Q104862,Vat.gr.1301,mdatac4b3190e29c148d67fcfb01b2e48044a43cecdbe,https://portail.biblissima.fr/ark:/43093/mdatac4b3190e29c148d67fcfb01b2e48044a43cecdbe
https://data.biblissima.fr/entity/Q104863,Vat.gr.1775,mdatac4cea751db46bc3adc48f945341771a051427da7,https://portail.biblissima.fr/ark:/43093/mdatac4cea751db46bc3adc48f945341771a051427da7
https://data.biblissima.fr/entity/Q104864,Pal.gr.53,mdatac500558926ea8f846d6cb305066bc444fa9634cb,https://portail.biblissima.fr/ark:/43093/mdatac500558926ea8f846d6cb305066bc444fa9634cb
https://data.biblissima.fr/entity/Q104865,Vat.gr.2644,mdatac50163502e5eafa943aaed11211c73d82534ca26,https://portail.biblissima.fr/ark:/43093/mdatac50163502e5eafa943aaed11211c73d82534ca26
https://data.biblissima.fr/entity/Q104866,Vat.gr.2198,mdatac5132ce557982fd8044e94fd12dd8ba5cd6992ed,https://portail.biblissima.fr/ark:/43093/mdatac5132ce557982fd8044e94fd12dd8ba5cd6992ed
https://data.biblissima.fr/entity/Q104867,Vat.gr.2070,mdatac515bca5efcc6b4a164fbfcacf1869d6f78a65f6,https://portail.biblissima.fr/ark:/43093/mdatac515bca5efcc6b4a164fbfcacf1869d6f78a65f6
https://data.biblissima.fr/entity/Q104868,Vat.gr.1169,mdatac51d41e40f0fbbce1988923f516938b7e4e537fe,https://portail.biblissima.fr/ark:/43093/mdatac51d41e40f0fbbce1988923f516938b7e4e537fe
https://data.biblissima.fr/entity/Q104869,Vat.gr.323,mdatac52597f7136653cf53071cfd8d51145781e27d99,https://portail.biblissima.fr/ark:/43093/mdatac52597f7136653cf53071cfd8d51145781e27d99
https://data.biblissima.fr/entity/Q104870,Vat.gr.2240,mdatac559586ebb4b233d77314753f1907e7cc2570ffa,https://portail.biblissima.fr/ark:/43093/mdatac559586ebb4b233d77314753f1907e7cc2570ffa
